title,author,source,description,content,pub_date,url,photo_url,combined_text,tokens,lems
Boeing’s CEO Is Shrinking the Jet Maker to Stop Its Crisis From Spiraling,Sharon Terlep,The Wall Street Journal,"A strike by its machinists union could end soon, but the company remains in a perilous financial position.",The airline industrys biggest names donned gowns and tuxedos and filed into a Manhattan ballroom Friday for a night of cocktails and fretting about the future of Boeing.One group was conspicuously ab… [+6565 chars],2024-10-20,https://www.wsj.com/business/airlines/boeing-ceo-manufacturing-future-fe635fae,https://s.yimg.com/ny/api/res/1.2/h9jln2vOKlO_30MlTGbSZQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/the_wall_street_journal_hosted_996/9e44f91cd324acd17b861b21a141629f,boeing s ceo is shrinking the jet maker to stop its crisis from spiraling the airline industrys biggest names donned gowns and tuxedos and filed into a manhattan ballroom friday for a night of cocktails and fretting about the future of boeing one group was conspicuously ab  chars,"['boeing', 'ceo', 'shrinking', 'jet', 'maker', 'stop', 'crisis', 'spiraling', 'airline', 'industrys', 'biggest', 'names', 'donned', 'gowns', 'tuxedos', 'filed', 'manhattan', 'ballroom', 'friday', 'night', 'cocktails', 'fretting', 'future', 'boeing', 'one', 'group', 'conspicuously', 'ab', 'chars']",boeing ceo shrinking jet maker stop crisis spiraling airline industry biggest name donned gown tuxedo filed manhattan ballroom friday night cocktail fretting future boeing one group conspicuously ab char
Prabowo vows to fight corruption as he is sworn in as Indonesia’s president,Al Jazeera,Al Jazeera English,Former general won the February presidential race with nearly 60 percent of the vote to succeed Joko Widodo.,"Prabowo Subianto has promised to combat corruption in Indonesia as he took oath as the president of the worlds fourth most populous country.
Wearing a traditional black hat and navy suit with a wove… [+3188 chars]",2024-10-20,https://www.aljazeera.com/news/2024/10/20/prabowo-vows-to-fight-corruption-as-he-is-sworn-in-as-indonesias-president,https://www.aljazeera.com/wp-content/uploads/2024/10/2024-10-20T070051Z_1264425409_RC23OAA81X7D_RTRMADP_3_INDONESIA-POLITICS-INAUGURATION-1729409809.jpg?resize=1920%2C1440,prabowo vows to fight corruption as he is sworn in as indonesia s president prabowo subianto has promised to combat corruption in indonesia as he took oath as the president of the worlds fourth most populous country wearing a traditional black hat and navy suit with a wove  chars,"['prabowo', 'vows', 'fight', 'corruption', 'sworn', 'indonesia', 'president', 'prabowo', 'subianto', 'promised', 'combat', 'corruption', 'indonesia', 'took', 'oath', 'president', 'worlds', 'fourth', 'populous', 'country', 'wearing', 'traditional', 'black', 'hat', 'navy', 'suit', 'wove', 'chars']",prabowo vow fight corruption sworn indonesia president prabowo subianto promised combat corruption indonesia took oath president world fourth populous country wearing traditional black hat navy suit wove char
India vs New Zealand: Black Caps record first Test win in India since 1988,Al Jazeera,Al Jazeera English,Rachin Ravindra and Will Young guide Black Caps home on fifth day of the rain-hit first Test in Bengaluru.,"New Zealand have defeated the men in blue by eight wickets, securing their first Test victory in India since 1988, as the Black Caps chased down 107 and humbled the home side early on the final day o… [+1275 chars]",2024-10-20,https://www.aljazeera.com/sports/2024/10/20/india-vs-new-zealand-black-caps-record-first-test-win-in-india-since-1988,https://www.aljazeera.com/wp-content/uploads/2024/10/AFP__20241020__36KH3K7__v1__HighRes__CricketIndNzlTest-1729408566.jpg?resize=1920%2C1440,india vs new zealand black caps record first test win in india since  new zealand have defeated the men in blue by eight wickets securing their first test victory in india since  as the black caps chased down  and humbled the home side early on the final day o  chars,"['india', 'vs', 'new', 'zealand', 'black', 'caps', 'record', 'first', 'test', 'win', 'india', 'since', 'new', 'zealand', 'defeated', 'men', 'blue', 'eight', 'wickets', 'securing', 'first', 'test', 'victory', 'india', 'since', 'black', 'caps', 'chased', 'humbled', 'home', 'side', 'early', 'final', 'day', 'chars']",india v new zealand black cap record first test win india since new zealand defeated men blue eight wicket securing first test victory india since black cap chased humbled home side early final day char
Marc Marquez wins Australian MotoGP after epic battle with Jorge Martin,Al Jazeera,Al Jazeera English,Marquez overcomes a drop outside the top 10 to battle his way back in front and win his third race of the season.,"Six-time champion Marc Marquez of Gresini Racing put on a master class to win the Australian Motorcycle Grand Prix (MotoGP) ahead of world championship leader Jorge Martin at Phillip Island, with Fra… [+2502 chars]",2024-10-20,https://www.aljazeera.com/sports/2024/10/20/marc-marquez-wins-australian-motogp-after-epic-battle-with-jorge-martin,https://www.aljazeera.com/wp-content/uploads/2024/10/AFP__20241020__36KE4DF__v1__HighRes__MotoPrixAus-1729407120.jpg?resize=1920%2C1440,marc marquez wins australian motogp after epic battle with jorge martin six time champion marc marquez of gresini racing put on a master class to win the australian motorcycle grand prix motogp ahead of world championship leader jorge martin at phillip island with fra  chars,"['marc', 'marquez', 'wins', 'australian', 'motogp', 'epic', 'battle', 'jorge', 'martin', 'six', 'time', 'champion', 'marc', 'marquez', 'gresini', 'racing', 'put', 'master', 'class', 'win', 'australian', 'motorcycle', 'grand', 'prix', 'motogp', 'ahead', 'world', 'championship', 'leader', 'jorge', 'martin', 'phillip', 'island', 'fra', 'chars']",marc marquez win australian motogp epic battle jorge martin six time champion marc marquez gresini racing put master class win australian motorcycle grand prix motogp ahead world championship leader jorge martin phillip island fra char
‘No other land’: Palestinian Bedouins forced out under cover of Gaza war,"Shaima Madboly, Faris Ka’abneh",Al Jazeera English,"Bedouins lived in Wadi as-Seeq for 50 years. After October 7, they were forced out of their homes.","The Palestinian Bedouins of the West Bank do not have time to wait for Israeli Jews to turn against their governments policy towards them.
Instead, they rely on their own resilience - or, in Arabic,… [+4779 chars]",2024-10-20,https://www.aljazeera.com/features/longform/2024/10/20/no-other-land-palestinian-bedouins-forced-out-under-cover-of-gaza-war,https://www.aljazeera.com/wp-content/uploads/2024/10/4-1728247798.jpg?resize=1920%2C1440,no other land palestinian bedouins forced out under cover of gaza war the palestinian bedouins of the west bank do not have time to wait for israeli jews to turn against their governments policy towards them instead they rely on their own resilience or in arabic  chars,"['land', 'palestinian', 'bedouins', 'forced', 'cover', 'gaza', 'war', 'palestinian', 'bedouins', 'west', 'bank', 'time', 'wait', 'israeli', 'jews', 'turn', 'governments', 'policy', 'towards', 'instead', 'rely', 'resilience', 'arabic', 'chars']",land palestinian bedouin forced cover gaza war palestinian bedouin west bank time wait israeli jew turn government policy towards instead rely resilience arabic char
At least 73 killed in Israeli strike in northern Gaza’s Beit Lahiya,Al Jazeera,Al Jazeera English,"Attack levels a multistorey residential building, with many people trapped under the rubble and rescue efforts hampered.","An Israeli air attack has killed at least 73 Palestinians, including women and children, in Beit Lahiya in the northern Gaza Strip, the authorities said, describing it as a massacre.
The overnight s… [+2841 chars]",2024-10-20,https://www.aljazeera.com/news/2024/10/20/dozens-killed-in-israeli-strike-in-northern-gazas-beit-lahiya,https://www.aljazeera.com/wp-content/uploads/2024/10/AFP__20241019__36KC98M__v1__HighRes__PalestinianIsraelConflict-1729406014.jpg?resize=1920%2C1440,at least  killed in israeli strike in northern gaza s beit lahiya an israeli air attack has killed at least  palestinians including women and children in beit lahiya in the northern gaza strip the authorities said describing it as a massacre the overnight s  chars,"['least', 'killed', 'israeli', 'strike', 'northern', 'gaza', 'beit', 'lahiya', 'israeli', 'air', 'attack', 'killed', 'least', 'palestinians', 'including', 'women', 'children', 'beit', 'lahiya', 'northern', 'gaza', 'strip', 'authorities', 'said', 'describing', 'massacre', 'overnight', 'chars']",least killed israeli strike northern gaza beit lahiya israeli air attack killed least palestinian including woman child beit lahiya northern gaza strip authority said describing massacre overnight char
Cameroon’s Francis Ngannou knocks out Renan Ferreira in MMA return,Al Jazeera,Al Jazeera English,Tearful Ngannou dedicates his comprehensive heavyweight title win to the memory of his late 15-month-old son Kobe.,Cameroons Francis Ngannou made a triumphant return to mixed martial arts by knocking out Renan Ferreria in the first round of their heavyweight clash at the Professional Fighters League (PFL) event d… [+1411 chars],2024-10-20,https://www.aljazeera.com/gallery/2024/10/20/cameroons-francis-ngannou-knocks-out-renan-ferreira-in-mma-return,https://www.aljazeera.com/wp-content/uploads/2024/10/AFP__20241018__36KD4NT__v2__Preview__MmaKsaPflNgannouFerreira-1729410789.jpg?resize=1200%2C630,cameroon s francis ngannou knocks out renan ferreira in mma return cameroons francis ngannou made a triumphant return to mixed martial arts by knocking out renan ferreria in the first round of their heavyweight clash at the professional fighters league pfl event d  chars,"['cameroon', 'francis', 'ngannou', 'knocks', 'renan', 'ferreira', 'mma', 'return', 'cameroons', 'francis', 'ngannou', 'made', 'triumphant', 'return', 'mixed', 'martial', 'arts', 'knocking', 'renan', 'ferreria', 'first', 'round', 'heavyweight', 'clash', 'professional', 'fighters', 'league', 'pfl', 'event', 'chars']",cameroon francis ngannou knock renan ferreira mma return cameroon francis ngannou made triumphant return mixed martial art knocking renan ferreria first round heavyweight clash professional fighter league pfl event char
State of the race: Five takeaways 17 days out from the US election,Al Jazeera Staff,Al Jazeera English,What's the latest on the race between Kamala Harris and Donald Trump? Al Jazeera breaks down the week's election news.,"Its been another whirlwind week in United States politics. And with just over two weeks left in the presidential race, the candidates are preparing to make their final appeals to voters.
What have K… [+7505 chars]",2024-10-20,https://www.aljazeera.com/news/2024/10/20/state-of-the-race-five-takeaways-seventeen-days-out-from-us-election,https://www.aljazeera.com/wp-content/uploads/2024/10/AP24294052018043-1729389427.jpg?resize=1920%2C1440,state of the race five takeaways  days out from the us election its been another whirlwind week in united states politics and with just over two weeks left in the presidential race the candidates are preparing to make their final appeals to voters what have k  chars,"['state', 'race', 'five', 'takeaways', 'days', 'us', 'election', 'another', 'whirlwind', 'week', 'united', 'states', 'politics', 'two', 'weeks', 'left', 'presidential', 'race', 'candidates', 'preparing', 'make', 'final', 'appeals', 'voters', 'k', 'chars']",state race five takeaway day u election another whirlwind week united state politics two week left presidential race candidate preparing make final appeal voter k char
"Russia-Ukraine war: List of key events, day 968",Al Jazeera,Al Jazeera English,"As the war enters its 968th day, these are the main developments.","Here is the situation on Sunday, October 20, 2024.
Fighting
<ul><li>Ukraine launched a series of drones targeting Moscow and western Russia, according to regional officials.</li><li>Russian air def… [+2286 chars]",2024-10-20,https://www.aljazeera.com/news/2024/10/20/russia-ukraine-conflict-list-of-key-events-day-968,https://www.aljazeera.com/wp-content/uploads/2024/10/2024-10-19T111218Z_438362277_RC2NNAAH3UNV_RTRMADP_3_G7-DEFENCE-1729403915.jpg?resize=1920%2C1440,russia ukraine war list of key events day  here is the situation on sunday october   fighting ul li ukraine launched a series of drones targeting moscow and western russia according to regional officials li li russian air def  chars,"['russia', 'ukraine', 'war', 'list', 'key', 'events', 'day', 'situation', 'sunday', 'october', 'fighting', 'ul', 'li', 'ukraine', 'launched', 'series', 'drones', 'targeting', 'moscow', 'western', 'russia', 'according', 'regional', 'officials', 'li', 'li', 'russian', 'air', 'def', 'chars']",russia ukraine war list key event day situation sunday october fighting ul li ukraine launched series drone targeting moscow western russia according regional official li li russian air def char
Seven killed as ferry dock collapses on US Atlantic coast off Georgia,Al Jazeera,Al Jazeera English,A team of engineers and construction specialists will begin an investigation into why the gangway collapsed.,"At least seven people were killed after part of a ferry dock collapsed off the coast of the US state of Georgia, the authorities say, where crowds had gathered for an autumn celebration.
The inciden… [+2613 chars]",2024-10-20,https://www.aljazeera.com/news/2024/10/20/several-killed-as-ferry-dock-collapses-on-us-atlantic-coast-off-georgia,https://www.aljazeera.com/wp-content/uploads/2024/10/AP24293854009091-1729408367.jpg?resize=1920%2C1440,seven killed as ferry dock collapses on us atlantic coast off georgia at least seven people were killed after part of a ferry dock collapsed off the coast of the us state of georgia the authorities say where crowds had gathered for an autumn celebration the inciden  chars,"['seven', 'killed', 'ferry', 'dock', 'collapses', 'us', 'atlantic', 'coast', 'georgia', 'least', 'seven', 'people', 'killed', 'part', 'ferry', 'dock', 'collapsed', 'coast', 'us', 'state', 'georgia', 'authorities', 'say', 'crowds', 'gathered', 'autumn', 'celebration', 'inciden', 'chars']",seven killed ferry dock collapse u atlantic coast georgia least seven people killed part ferry dock collapsed coast u state georgia authority say crowd gathered autumn celebration inciden char
