title,author,source,description,content,pub_date,url,photo_url,combined_text,tokens,lems,keywords
State of the race: Five takeaways 17 days out from the US election,Al Jazeera Staff,Al Jazeera English,What's the latest on the race between Kamala Harris and Donald Trump? Al Jazeera breaks down the week's election news.,"Its been another whirlwind week in United States politics. And with just over two weeks left in the presidential race, the candidates are preparing to make their final appeals to voters.
What have K… [+7505 chars]",20-10-2024,https://www.aljazeera.com/news/2024/10/20/state-of-the-race-five-takeaways-seventeen-days-out-from-us-election,https://www.aljazeera.com/wp-content/uploads/2024/10/AP24294052018043-1729389427.jpg?resize=1920%2C1440,state of the race five takeaways days out from the us election its been another whirlwind week in united states politics and with just over two weeks left in the presidential race the candidates are preparing to make their final appeals to voters what have k chars,"['state', 'race', 'five', 'takeaways', 'days', 'us', 'election', 'another', 'whirlwind', 'week', 'united', 'states', 'politics', 'two', 'weeks', 'left', 'presidential', 'race', 'candidates', 'preparing', 'make', 'final', 'appeals', 'voters', 'k', 'chars']",,[]
LIVE: Huge Israeli strike kills more than 70 in north Gaza’s Beit Lahiya,Lyndal Rowlands,Al Jazeera English,Multiple air strikes on residential area in Beit Lahiya come amid punishing weeks-long Israeli siege of north Gaza.,"blinking-dot
Live updatesLive updates, 
Multiple air strikes on residential area in Beit Lahiya carried out amid punishing weeks-long Israeli military siege of northern Gaza.",20-10-2024,https://www.aljazeera.com/news/liveblog/2024/10/20/live-dozens-killed-in-israeli-attack-on-beit-lahiya-in-north-of-gaza,https://www.aljazeera.com/wp-content/uploads/2024/10/AA-20241019-35953060-35953058-ISRAELI_ATTACK_ON_MAGHAZI_REFUGEE_CAMP_IN_DEIR_ALBALAH-1729381680.jpg?resize=1200%2C630,live huge israeli strike kills more than in north gaza s beit lahiya blinking dot live updateslive updates multiple air strikes on residential area in beit lahiya carried out amid punishing weeks long israeli military siege of northern gaza,"['live', 'huge', 'israeli', 'strike', 'kills', 'north', 'gaza', 'beit', 'lahiya', 'blinking', 'dot', 'live', 'updateslive', 'updates', 'multiple', 'air', 'strikes', 'residential', 'area', 'beit', 'lahiya', 'carried', 'amid', 'punishing', 'weeks', 'long', 'israeli', 'military', 'siege', 'northern', 'gaza']",,[]
Caught at the helm,BBC World Service,BBC News,"Katy Fallon tells the story of the refugees and other migrants ensnared in Greece’s legal crossfire. Greek authorities routinely prosecute those found near the controls of boats carrying people trying to reach Europe, but human rights monitors assert that it …",Katy Fallon tells the story of the refugees and other migrants ensnared in Greeces legal crossfire. Greek authorities routinely prosecute those found near the controls of boats carrying people trying… [+543 chars],20-10-2024,https://www.bbc.co.uk/programmes/p0jy4mch,https://ichef.bbci.co.uk/images/ic/1200x675/p0css1dx.jpg,caught at the helm katy fallon tells the story of the refugees and other migrants ensnared in greeces legal crossfire greek authorities routinely prosecute those found near the controls of boats carrying people trying chars,"['caught', 'helm', 'katy', 'fallon', 'tells', 'story', 'refugees', 'migrants', 'ensnared', 'greeces', 'legal', 'crossfire', 'greek', 'authorities', 'routinely', 'prosecute', 'found', 'near', 'controls', 'boats', 'carrying', 'people', 'trying', 'chars']",,[]
Clocks to go back as autumn weather takes hold,Barra Best,BBC News,"At 02:00 BST on 27 October clocks will go back by one hour, providing an extra hour in bed for many.","The clock change is rooted in a century-old practice designed to make better use of daylight during the winter months.
By shifting an hour of sunlight from the evening to the morning, the goal is to… [+1145 chars]",20-10-2024,https://www.bbc.co.uk/news/articles/cm28gv44rz3o,https://ichef.bbci.co.uk/news/1024/branded_news/e41c/live/ec6d0a30-8afe-11ef-8dd9-115a8781b651.jpg,clocks to go back as autumn weather takes hold the clock change is rooted in a century old practice designed to make better use of daylight during the winter months by shifting an hour of sunlight from the evening to the morning the goal is to chars,"['clocks', 'go', 'back', 'autumn', 'weather', 'takes', 'hold', 'clock', 'change', 'rooted', 'century', 'old', 'practice', 'designed', 'make', 'better', 'use', 'daylight', 'winter', 'months', 'shifting', 'hour', 'sunlight', 'evening', 'morning', 'goal', 'chars']",,[]
Why are we building homes when so many are standing empty?,Brian Wheeler,BBC News,"Bringing empty homes back into use can be tricky, but campaigners say a lot more could be done to help.","In an average working day, Claudia Bowring has to play the role of detective, estate agent, family mediator and, occasionally, grief counsellor.
Shes an empty homes officer for a borough council in … [+1853 chars]",20-10-2024,https://www.bbc.co.uk/news/articles/c4g518le0r5o,https://ichef.bbci.co.uk/news/1024/branded_news/bb6b/live/80655fc0-8eca-11ef-8dd3-bb530ef3f124.jpg,why are we building homes when so many are standing empty in an average working day claudia bowring has to play the role of detective estate agent family mediator and occasionally grief counsellor shes an empty homes officer for a borough council in chars,"['building', 'homes', 'many', 'standing', 'empty', 'average', 'working', 'day', 'claudia', 'bowring', 'play', 'role', 'detective', 'estate', 'agent', 'family', 'mediator', 'occasionally', 'grief', 'counsellor', 'shes', 'empty', 'homes', 'officer', 'borough', 'council', 'chars']",,[]
Anglo-Saxon coin pendant found at Attleborough is 'very unusual',Katy Prickett,BBC News,"The Anglo-Saxons ""made the whole thing from scratch"" rather than reuse an old coin, says an expert.","Dr Marsden, from the Norfolk Historic Environment Service, external, said this was an era when the Roman Empire, which had become officially Christian by AD380, was ""in freefall"".
""We know the Anglo… [+871 chars]",20-10-2024,https://www.bbc.co.uk/news/articles/cvgxye0lrvjo,https://ichef.bbci.co.uk/news/1024/branded_news/7ca4/live/b59925b0-8c80-11ef-8936-1185f9e7d044.jpg,anglo saxon coin pendant found at attleborough is have ry unusual dr marsden from the norfolk historic environment service external said this was an era when the roman empire which had become officially christian by ad was in freefall we know the anglo chars,"['anglo', 'saxon', 'coin', 'pendant', 'found', 'attleborough', 'ry', 'unusual', 'dr', 'marsden', 'norfolk', 'historic', 'environment', 'service', 'external', 'said', 'era', 'roman', 'empire', 'become', 'officially', 'christian', 'ad', 'freefall', 'know', 'anglo', 'chars']",,[]
Lucy Letby: We spent years covering the case – here’s why experts are still arguing about it,Jonathan Coffey And Judith Moritz,BBC News,"For more than a year, we’ve been examining the scientific evidence and speaking to the experts at the centre of the case.","The medical condition of the babies also fitted with the lab results. In both cases, the babies blood sugar levels had plummeted, which is what you would expect to see with insulin poisoning. And whi… [+2087 chars]",20-10-2024,https://www.bbc.co.uk/news/articles/cvgwx9xprwqo,https://ichef.bbci.co.uk/news/1024/branded_news/d919/live/a27d4ec0-8d61-11ef-89ae-5575c76d98e6.png,lucy letby we spent years covering the case here s why experts are still arguing about it the medical condition of the babies also fitted with the lab results in both cases the babies blood sugar levels had plummeted which is what you would expect to see with insulin poisoning and whi chars,"['lucy', 'letby', 'spent', 'years', 'covering', 'case', 'experts', 'still', 'arguing', 'medical', 'condition', 'babies', 'also', 'fitted', 'lab', 'results', 'cases', 'babies', 'blood', 'sugar', 'levels', 'plummeted', 'would', 'expect', 'see', 'insulin', 'poisoning', 'whi', 'chars']",,[]
Stillbirth: 'Irish database means our son will not be forgotten',Eimear Flanagan,BBC News,An Irish mother whose eldest boy was stillborn hails the importance of a new public record of loss.,"In recent years much of the secrecy that once surrounded stillbirth and miscarriage has dissipated as more parents like Maria choose to speak out about baby loss. 
Those changing attitudes are also … [+1877 chars]",20-10-2024,https://www.bbc.co.uk/news/articles/c4gqlwvygdno,https://ichef.bbci.co.uk/news/1024/branded_news/9cc0/live/c5528c50-8c92-11ef-ab1d-79f5630c944f.jpg,stillbirth irish database means our son will not be forgotten in recent years much of the secrecy that once surrounded stillbirth and miscarriage has dissipated as more parents like maria choose to speak out about baby loss those changing attitudes are also chars,"['stillbirth', 'irish', 'database', 'means', 'son', 'forgotten', 'recent', 'years', 'much', 'secrecy', 'surrounded', 'stillbirth', 'miscarriage', 'dissipated', 'parents', 'like', 'maria', 'choose', 'speak', 'baby', 'loss', 'changing', 'attitudes', 'also', 'chars']",,[]
"HDB Financial Services to raise ₹12,500 via IPO",Bloomberg,Bloomberg,"The Mumbai-based bank’s board has approved its unit’s offer for sale of equity shares worth ₹10,000 crore held by the bank and ₹2,500 crore of new shares.","HDB Financial Services Ltd., a unit of Indias largest private sector lender, HDFC Bank Ltd. plans to raise as much as 12,500 crore ($1.5 billion) through an initial public offering (IPO), further add… [+1013 chars]",20-10-2024,https://www.bloomberg.com/news/articles/2024-10-19/hdfc-bank-approves-1-5-billion-ipo-of-unit-hdb-financial,https://bl-i.thgim.com/public/incoming/cbk19q/article68775022.ece/alternates/LANDSCAPE_1200/IMG_th17_BU_IPO_2_1_Q39A2CFN.jpg,hdb financial services to raise via ipo hdb financial services ltd a unit of indias largest private sector lender hdfc bank ltd plans to raise as much as crore billion through an initial public offering ipo further add chars,"['hdb', 'financial', 'services', 'raise', 'via', 'ipo', 'hdb', 'financial', 'services', 'ltd', 'unit', 'indias', 'largest', 'private', 'sector', 'lender', 'hdfc', 'bank', 'ltd', 'plans', 'raise', 'much', 'crore', 'billion', 'initial', 'public', 'offering', 'ipo', 'add', 'chars']",,[]
Roy Wood Jr. and comedians joke about viral gesture from Kamala Harris’ Fox News interview | CNN,,CNN,Roy Wood Jr. and comedians joke about viral gesture from Kamala Harris’ Fox News interview | CNNcnn.com,"Roy Wood Jr. asks comedians on ""Have I Got News For You' for their takes on the hand gesture Fox News anchors Brett Baier made during his interview of Vice President Kamala Harris. Watch CNNs new com… [+36 chars]",20-10-2024,https://www.cnn.com/2024/10/19/entertainment/video/kamala-harris-interview-fox-news-brett-baier-hand-gesture-hignfy-digvid,"https://media.cnn.com/api/v1/images/stellar/prod/20241019-hignfy-split.jpg?c=16x9&q=w_800,c_fill",roy wood jr and comedians joke about viral gesture from kamala harris fox news interview cnn roy wood jr asks comedians on have i got news for you for their takes on the hand gesture fox news anchors brett baier made during his interview of vice president kamala harris watch cnns new com chars,"['roy', 'wood', 'jr', 'comedians', 'joke', 'viral', 'gesture', 'kamala', 'harris', 'fox', 'news', 'interview', 'cnn', 'roy', 'wood', 'jr', 'asks', 'comedians', 'got', 'news', 'takes', 'hand', 'gesture', 'fox', 'news', 'anchors', 'brett', 'baier', 'made', 'interview', 'vice', 'president', 'kamala', 'harris', 'watch', 'cnns', 'new', 'com', 'chars']",,[]
