title,author,source,description,content,pub_date,url,photo_url,combined_text,tokens,lems
"Russia-Ukraine war: List of key events, day 982",Al Jazeera,Al Jazeera English,"As the war enters its 982nd day, these are the main developments.","Here is the situation on Sunday, November 3:
Fighting
<ul><li>Russian forces downed 19 Ukrainian drones overnight 16 over the southern Rostov region and the remainder over the Belgorod and Bryansk … [+2184 chars]",2024-11-03,https://www.aljazeera.com/news/2024/11/3/russia-ukraine-war-list-of-key-events-day-982,https://www.aljazeera.com/wp-content/uploads/2024/11/2024-11-02T061444Z_294447618_RC2RWAAWGMXB_RTRMADP_3_UKRAINE-CRISIS-ATTACK-KYIV-1730607376.jpg?resize=1920%2C1440,russia ukraine war list of key events day  here is the situation on sunday november  fighting ul li russian forces downed  ukrainian drones overnight  over the southern rostov region and the remainder over the belgorod and bryansk  chars,"['russia', 'ukraine', 'war', 'list', 'key', 'events', 'day', 'situation', 'sunday', 'november', 'fighting', 'ul', 'li', 'russian', 'forces', 'downed', 'ukrainian', 'drones', 'overnight', 'southern', 'rostov', 'region', 'remainder', 'belgorod', 'bryansk', 'chars']",russia ukraine war list key event day situation sunday november fighting ul li russian force downed ukrainian drone overnight southern rostov region remainder belgorod bryansk char
Moldovans vote in tense presidential run-off amid Russian meddling claims,Al Jazeera,Al Jazeera English,Pro-EU incumbent Maia Sandu faces off Russia-friendly rival in elections amid claims of fraud and Russian meddling.,"Moldovans are casting ballots in a tense presidential run-off as pro-Western incumbent, Maia Sandu, hopes to win a second term amid allegations of Russian meddling.
Polls opened on Sunday at 7am loc… [+3794 chars]",2024-11-03,https://www.aljazeera.com/news/2024/11/3/moldovans-vote-in-tense-presidential-run-off-amid-russian-meddling-claims,https://www.aljazeera.com/wp-content/uploads/2024/11/2024-11-03T061839Z_551601895_RC2GXAAPIHV3_RTRMADP_3_MOLDOVA-ELECTION-1730619481.jpg?resize=1920%2C1440,moldovans vote in tense presidential run off amid russian meddling claims moldovans are casting ballots in a tense presidential run off as pro western incumbent maia sandu hopes to win a second term amid allegations of russian meddling polls opened on sunday at am loc  chars,"['moldovans', 'vote', 'tense', 'presidential', 'run', 'amid', 'russian', 'meddling', 'claims', 'moldovans', 'casting', 'ballots', 'tense', 'presidential', 'run', 'pro', 'western', 'incumbent', 'maia', 'sandu', 'hopes', 'win', 'second', 'term', 'amid', 'allegations', 'russian', 'meddling', 'polls', 'opened', 'sunday', 'loc', 'chars']",moldovans vote tense presidential run amid russian meddling claim moldovans casting ballot tense presidential run pro western incumbent maia sandu hope win second term amid allegation russian meddling poll opened sunday loc char
"India vs New Zealand, third Test: Patel takes 11 as India lose by 25 runs",Al Jazeera Staff,Al Jazeera English,Mumbai-born Ajaz Patel takes 11 wickets as New Zealand win by 25 runs and bag the series 3-0 at the Wankhede Stadium.,"New Zealand have become only the second team in Test cricket history to hand India a home series whitewash after winning their third Test against the hosts by 25 runs in Mumbai.
Needing 147 runs to … [+2540 chars]",2024-11-03,https://www.aljazeera.com/sports/2024/11/3/india-vs-new-zealand-third-test-patel-takes-11-as-india-lose-by-25-runs,https://www.aljazeera.com/wp-content/uploads/2024/11/AFP__20241103__36LG8KG__v1__HighRes__CricketIndNzlTest-1730620470_6615fc-1730621773.jpg?resize=1200%2C630&quality=80,india vs new zealand third test patel takes  as india lose by  runs new zealand have become only the second team in test cricket history to hand india a home series whitewash after winning their third test against the hosts by  runs in mumbai needing  runs to  chars,"['india', 'vs', 'new', 'zealand', 'third', 'test', 'patel', 'takes', 'india', 'lose', 'runs', 'new', 'zealand', 'become', 'second', 'team', 'test', 'cricket', 'history', 'hand', 'india', 'home', 'series', 'whitewash', 'winning', 'third', 'test', 'hosts', 'runs', 'mumbai', 'needing', 'runs', 'chars']",india v new zealand third test patel take india lose run new zealand become second team test cricket history hand india home series whitewash winning third test host run mumbai needing run char
US Election 2024: Understanding the United States in 20 maps,"Marium Ali, Alia Chughtai",Al Jazeera English,"Al Jazeera looks at the US economy, demographics, geography and other indicators ahead of the November 5 elections.","How well do you know the United States?
These 20 maps offer an overview of the economy, demographics, geography and history of the country of 335 million people as voters prepare to head to the poll… [+9433 chars]",2024-11-03,https://www.aljazeera.com/news/2024/11/3/us-election-2024-understanding-the-united-states-in-20-maps,https://www.aljazeera.com/wp-content/uploads/2024/11/INTERACTIVE_US-MAPS_COVER_2-NOV-2024-1730614103.png?resize=1200%2C630,us election  understanding the united states in  maps how well do you know the united states these  maps offer an overview of the economy demographics geography and history of the country of  million people as voters prepare to head to the poll  chars,"['us', 'election', 'understanding', 'united', 'states', 'maps', 'well', 'know', 'united', 'states', 'maps', 'offer', 'overview', 'economy', 'demographics', 'geography', 'history', 'country', 'million', 'people', 'voters', 'prepare', 'head', 'poll', 'chars']",u election understanding united state map well know united state map offer overview economy demographic geography history country million people voter prepare head poll char
Brandon Moreno beats Amir Albazi by unanimous decision at UFC Fight Night,Al Jazeera,Al Jazeera English,"Mexico's former champion Moreno scored 49-46, 50-45, 50-45 against Iraq's Albazi, who was on a six-fight winning streak.","Brandon Moreno used his crisp boxing to snap Amir Albazis six-fight winning streak and win by unanimous decision in the main event of UFC Fight Night in Edmonton, Alberta, Canada.
Through three roun… [+1875 chars]",2024-11-03,https://www.aljazeera.com/sports/2024/11/3/brandon-moreno-beats-amir-albazi-by-unanimous-decision-at-ufc-fight-night,https://www.aljazeera.com/wp-content/uploads/2024/11/2024-11-03T035011Z_2069431964_MT1USATODAY24663554_RTRMADP_3_MMA-UFC-FIGHT-NIGHT-EDMONTON-MORENO-VS-ALBAZI-1730615039.jpg?resize=1920%2C1440,brandon moreno beats amir albazi by unanimous decision at ufc fight night brandon moreno used his crisp boxing to snap amir albazis six fight winning streak and win by unanimous decision in the main event of ufc fight night in edmonton alberta canada through three roun  chars,"['brandon', 'moreno', 'beats', 'amir', 'albazi', 'unanimous', 'decision', 'ufc', 'fight', 'night', 'brandon', 'moreno', 'used', 'crisp', 'boxing', 'snap', 'amir', 'albazis', 'six', 'fight', 'winning', 'streak', 'win', 'unanimous', 'decision', 'main', 'event', 'ufc', 'fight', 'night', 'edmonton', 'alberta', 'canada', 'three', 'roun', 'chars']",brandon moreno beat amir albazi unanimous decision ufc fight night brandon moreno used crisp boxing snap amir albazis six fight winning streak win unanimous decision main event ufc fight night edmonton alberta canada three roun char
"US election: 2 days left – What polls say, what Harris and Trump are up to",Al Jazeera,Al Jazeera English,Harris and Trump are locked in a dead heat in several swing states as one survey shows the Democrat leading in Iowa.,"The US presidential candidates campaigned in the key swing state of North Carolina on Saturday, seeking to lock in more votes for the election on Tuesday, November 5.
It marked the fourth day in a r… [+6363 chars]",2024-11-03,https://www.aljazeera.com/news/2024/11/3/us-election-2-days-left-what-polls-say-what-harris-and-trump-are-up-to,https://www.aljazeera.com/wp-content/uploads/2024/11/AP24304037053551-1730621668_fbacd8-1730621886.jpg?resize=1200%2C630&quality=80,us election  days left what polls say what harris and trump are up to the us presidential candidates campaigned in the key swing state of north carolina on saturday seeking to lock in more votes for the election on tuesday november  it marked the fourth day in a r  chars,"['us', 'election', 'days', 'left', 'polls', 'say', 'harris', 'trump', 'us', 'presidential', 'candidates', 'campaigned', 'key', 'swing', 'state', 'north', 'carolina', 'saturday', 'seeking', 'lock', 'votes', 'election', 'tuesday', 'november', 'marked', 'fourth', 'day', 'r', 'chars']",u election day left poll say harris trump u presidential candidate campaigned key swing state north carolina saturday seeking lock vote election tuesday november marked fourth day r char
LIVE: Israel killed over 50 children in 48 hours in Gaza’s Jabalia,Alastair Mccready,Al Jazeera English,Four children among six wounded as Israel attacks a polio centre in north Gaza despite an agreed humanitarian pause.,"blinking-dot
Live updatesLive updates, 
Four children among six wounded as Israel attacks a polio vaccination centre in north Gaza despite an agreed humanitarian pause.",2024-11-03,https://www.aljazeera.com/news/liveblog/2024/11/3/live-israel-attacks-gaza-polio-centre-syria-lebanon-border-crossing,https://www.aljazeera.com/wp-content/uploads/2024/11/AFP__20241101__36LC4A7__v4__HighRes__TopshotPalestinianIsraelConflict-1730590635.jpg?resize=1920%2C1440,live israel killed over  children in  hours in gaza s jabalia blinking dot live updateslive updates four children among six wounded as israel attacks a polio vaccination centre in north gaza despite an agreed humanitarian pause,"['live', 'israel', 'killed', 'children', 'hours', 'gaza', 'jabalia', 'blinking', 'dot', 'live', 'updateslive', 'updates', 'four', 'children', 'among', 'six', 'wounded', 'israel', 'attacks', 'polio', 'vaccination', 'centre', 'north', 'gaza', 'despite', 'agreed', 'humanitarian', 'pause']",live israel killed child hour gaza jabalia blinking dot live updateslive update four child among six wounded israel attack polio vaccination centre north gaza despite agreed humanitarian pause
Are celebs such as Charli XCX and Addison Rae making smoking 'cool' again?,Yasmin Rufo,BBC News,"The cigarette is having a resurgence in pop culture and smoking is being glamorised in film, TV and music.","Brat summer might be over as we grapple with how dark it is at 4pm, but the concept of being a brat pack of cigs and a Bic lighter, according to the singer Charli XCX lives on.
There's Rosalia gifti… [+836 chars]",2024-11-03,https://www.bbc.co.uk/news/articles/ce8dy5v1kpno,https://ichef.bbci.co.uk/news/1024/branded_news/d775/live/b2dafc60-993f-11ef-8538-e1655f5a8342.png,are celebs such as charli xcx and addison rae making smoking cool again brat summer might be over as we grapple with how dark it is at pm but the concept of being a brat pack of cigs and a bic lighter according to the singer charli xcx lives on there is rosalia gifti  chars,"['celebs', 'charli', 'xcx', 'addison', 'rae', 'making', 'smoking', 'cool', 'brat', 'summer', 'might', 'grapple', 'dark', 'pm', 'concept', 'brat', 'pack', 'cigs', 'bic', 'lighter', 'according', 'singer', 'charli', 'xcx', 'lives', 'rosalia', 'gifti', 'chars']",celebs charli xcx addison rae making smoking cool brat summer might grapple dark pm concept brat pack cigs bic lighter according singer charli xcx life rosalia gifti char
US: The place Biden will call home after leaving White House,Chris Buckler,BBC News,"BBC News NI's Chris Buckler talks to voters in Wilmington, Delaware, as Biden's presidency comes to an end.","Joe Bidens presidential visit to Ireland last year was memorable, personal and political.
The trip was a celebration of his roots but also a chance to throw his leadership weight behind political pr… [+671 chars]",2024-11-03,https://www.bbc.co.uk/news/articles/cj6k8kxlxjpo,https://ichef.bbci.co.uk/news/1024/branded_news/40b1/live/ab1ae9a0-99b6-11ef-b2b2-451027f2fc07.jpg,us the place biden will call home after leaving white house joe bidens presidential visit to ireland last year was memorable personal and political the trip was a celebration of his roots but also a chance to throw his leadership weight behind political pr  chars,"['us', 'place', 'biden', 'call', 'home', 'leaving', 'white', 'house', 'joe', 'bidens', 'presidential', 'visit', 'ireland', 'last', 'year', 'memorable', 'personal', 'political', 'trip', 'celebration', 'roots', 'also', 'chance', 'throw', 'leadership', 'weight', 'behind', 'political', 'pr', 'chars']",u place biden call home leaving white house joe bidens presidential visit ireland last year memorable personal political trip celebration root also chance throw leadership weight behind political pr char
Strictly's Tasha Ghouri in tears over online hate after Love Island,Noor Nanji,BBC News,"Ghouri, who was born deaf, said she received an onslaught of hate after appearing on Love Island in 2022.","The model, author and podcaster, from North Yorkshire, became Love Island's first deaf contestant when she appeared on the ITV show, eventually finishing joint fourth with boyfriend Andrew Le Page, w… [+486 chars]",2024-11-03,https://www.bbc.co.uk/news/articles/c0j8zevz4gno,https://ichef.bbci.co.uk/news/1024/branded_news/a06a/live/627ff050-99ca-11ef-9260-19e6a950e830.jpg,strictly is tasha ghouri in tears over online hate after love island the model author and podcaster from north yorkshire became love island is first deaf contestant when she appeared on the itv show eventually finishing joint fourth with boyfriend andrew le page w  chars,"['strictly', 'tasha', 'ghouri', 'tears', 'online', 'hate', 'love', 'island', 'model', 'author', 'podcaster', 'north', 'yorkshire', 'became', 'love', 'island', 'first', 'deaf', 'contestant', 'appeared', 'itv', 'show', 'eventually', 'finishing', 'joint', 'fourth', 'boyfriend', 'andrew', 'le', 'page', 'w', 'chars']",strictly tasha ghouri tear online hate love island model author podcaster north yorkshire became love island first deaf contestant appeared itv show eventually finishing joint fourth boyfriend andrew le page w char
